Date,Point,Count
02.03.2016,Химки-1,116
23.02.2016,Сыктывкар-2,203
04.11.2014,Челябинск-1,86
07.11.2015,Реутов-1,92
24.12.2015,Железнодорожный-1,61
21.09.2016,Якутск-1,93
10.07.2015,Новороссийск-1,21
23.07.2014,Октябрьский-1,63
31.05.2016,Гатчина-1,86
04.08.2016,Москва 1-1,131
02.04.2016,Салават-1,34
22.07.2016,Ленинск-Кузнецкий-1,52
29.08.2016,Самара-3,385
01.10.2016,Казань-1,233
01.08.2016,Калининград-2,69
23.08.2015,Альметьевск-1,101
01.07.2015,Сыктывкар-2,113
20.05.2016,Самара-3,427
20.11.2015,Бугульма-1,121
14.06.2016,Реутов-1,58
24.02.2016,Майкоп-1,79
21.08.2013,Самара-1,66
07.10.2016,Реутов-1,133
28.04.2014,Ульяновск-1,57
02.07.2015,Новороссийск-1,38
12.09.2016,Майкоп-1,121
04.08.2016,Калуга-1,161
17.06.2016,Ачинск-1,114
03.06.2015,Махачкала-1,90
02.08.2015,Ухта-1,218
22.08.2016,Гатчина-2,47
03.10.2016,Долгопрудный-1,145
24.02.2016,Домодедово-1,46
24.05.2013,Сарапул-1,73
20.06.2015,Колпино-1,42
19.04.2016,Сыктывкар-5,31
19.05.2014,Сыктывкар-2,23
13.06.2015,Сыктывкар-1,218
19.08.2016,Смоленск-1,222
18.12.2014,Майкоп-1,49
02.06.2013,Белгород-1,73
13.03.2014,Смоленск-1,120
14.07.2016,Ухта-2,46
05.10.2016,Ухта-1,170
25.10.2015,Белгород-1,80
12.01.2016,Октябрьский-1,89
10.05.2016,Махачкала-1,87
27.08.2016,Сургут-1,244
27.07.2015,Самара-3,173
03.09.2013,Смоленск-1,89
27.10.2015,Сургут-1,32
30.10.2015,Сыктывкар-1,279
27.12.2012,Челябинск-1,45
04.03.2016,Железнодорожный-1,177
19.07.2016,Калининград-2,79
06.07.2016,Нижневартовск-1,61
27.04.2014,Октябрьский-1,109
27.01.2014,Самара-2,100
28.03.2016,Нахабино-1,30
31.10.2015,Нахабино-1,59
21.07.2015,Уссурийск-1,77
04.03.2016,Саратов-1,196
19.01.2016,Сыктывкар-1,201
13.12.2015,Сыктывкар-5,44
15.06.2015,Уссурийск-1,81
27.03.2016,Ачинск-1,156
04.08.2016,Всеволожск-1,58
13.11.2015,Вологда-1,38
01.08.2016,Тольятти-1,179
08.06.2016,Сарапул-1,48
07.08.2016,Балашиха-1,189
03.11.2015,Балашиха-1,67
30.06.2016,Новочебоксарск-1,50
08.09.2014,Ульяновск-1,52
08.09.2016,Абинск-1,51
03.11.2015,Чайковский-1,61
23.02.2014,Долгопрудный-1,45
22.11.2015,Сыктывкар-4,116
09.02.2016,Самара-1,158
01.08.2015,Махачкала-1,151
09.03.2016,Ростов-на-Дону-2,97
28.02.2015,Тюмень-1,26
08.02.2016,Комсомольск-на-Амуре-1,78
13.08.2014,Челябинск-1,66
02.02.2016,Колпино-1,77
25.01.2014,Челябинск-1,96
07.02.2015,Самара-3,156
24.10.2014,Самара-1,206
02.08.2016,Вельск-1,57
10.10.2016,Ульяновск-1,88
19.09.2016,Москва 1-1,54
29.01.2016,Сыктывкар-2,94
16.10.2016,Сыктывкар-2,126
31.05.2015,Мытищи-1,66
28.07.2015,Смоленск-2,171
07.03.2015,Энгельс-1,91
31.03.2016,Химки-1,132
09.12.2015,Ангарск-1,28
12.01.2016,Новочебоксарск-1,19
25.06.2015,Сыктывкар-2,106
09.03.2016,Гатчина-2,35
12.01.2015,Челябинск-1,77
19.05.2016,Самара-4,269
03.07.2016,Балаково-1,78
22.07.2016,Тобольск-1,103
25.07.2015,Королев-1,83
10.12.2015,Нижнекамск-1,71
09.07.2016,Сыктывкар-3,126
02.10.2015,Колпино-1,75
18.11.2014,Сыктывкар-3,75
27.06.2016,Ульяновск-2,183
15.10.2016,Новоалтайск-1,38
20.03.2016,Челябинск-1,151
30.01.2016,Альметьевск-1,165
27.03.2016,Самара-4,327
09.10.2016,Самара-5,746
21.02.2016,Пушкино-1,63
22.07.2015,Самара-4,228
17.08.2015,Волжский-1,90
24.07.2016,Астрахань-1,81
22.08.2015,Нижнекамск-1,47
06.07.2015,Уссурийск-1,63
10.08.2015,Сарапул-1,75
12.03.2014,Челябинск-1,59
24.05.2016,Нижний Новгород-1,103
26.12.2012,Самара-1,61
27.04.2013,Ухта-1,167
24.08.2016,Колпино-1,97
10.08.2016,Вельск-1,55
10.08.2015,Белгород-1,46
18.04.2014,Энгельс-1,37
14.11.2015,Сыктывкар-6,4
03.08.2016,Энгельс-1,76
16.11.2015,Реутов-1,30
06.05.2016,Чайковский-1,71
22.10.2015,Ачинск-1,80
07.03.2014,Сыктывкар-2,92
23.09.2016,Салават-1,62
26.04.2015,Смоленск-2,160
23.09.2016,Калининград-1,123
07.02.2016,Смоленск-1,164
13.03.2015,Самара-2,233
27.10.2014,Сыктывкар-2,69
22.07.2016,Ростов-на-Дону-1,180
16.10.2016,Реутов-1,181
29.06.2016,Салават-1,35
21.07.2016,Махачкала-2,22
29.12.2015,Сыктывкар-1,337
01.05.2015,Махачкала-1,103
31.07.2016,Майкоп-1,98
02.01.2016,Октябрьский-1,176
20.09.2015,Челябинск-1,133
19.03.2016,Комсомольск-на-Амуре-1,166
30.12.2014,Ухта-1,266
12.01.2015,Октябрьский-1,75
20.02.2016,Майкоп-1,87
15.06.2016,Ульяновск-1,82
10.09.2016,Колпино-1,159
23.10.2014,Ухта-1,139
02.06.2015,Колпино-1,49
18.06.2016,Сургут-1,253
01.08.2016,Муром-1,41
30.08.2016,Сыктывкар-4,51
17.09.2014,Ухта-1,106
29.08.2016,Гатчина-2,82
23.02.2016,Самара-3,384
23.01.2014,Сыктывкар-2,38
06.09.2016,Самара-2,210
15.02.2016,Белгород-1,73
27.08.2015,Ачинск-1,81
29.07.2016,Серпухов-1,55
19.10.2016,Петрозаводск-1,64
27.03.2015,Ростов-на-Дону-1,125
20.02.2016,Комсомольск-на-Амуре-1,197
29.04.2016,Ленинск-Кузнецкий-1,69
13.11.2015,Самара-4,302
30.10.2015,Ульяновск-1,83
18.07.2016,Самара-2,229
27.01.2014,Сыктывкар-1,216
26.01.2016,Сыктывкар-2,64
11.06.2014,Сыктывкар-2,73
07.08.2015,Ухта-1,258
14.05.2014,Сыктывкар-1,139
18.10.2016,Нижний Тагил-1,106
29.05.2016,Балашиха-1,145
22.03.2015,Тюмень-1,55
29.04.2016,Новороссийск-1,154
07.11.2015,Волжский-1,148
15.12.2015,Сургут-1,60
31.07.2015,Химки-1,106
01.01.2013,Сарапул-1,41
29.05.2016,Нижнекамск-1,106
10.05.2016,Смоленск-2,130
17.07.2016,Шахты-1,75
28.07.2013,Сыктывкар-2,73
22.05.2016,Ухта-2,79
15.01.2015,Ульяновск-2,111
22.08.2016,Северск-1,35
05.12.2013,Сыктывкар-3,78
26.06.2013,Ухта-1,94
15.03.2016,Тольятти-1,101
31.03.2015,Абакан-1,69
05.07.2014,Абакан-1,67
01.04.2013,Сарапул-1,58
02.01.2016,Астрахань-1,57
10.10.2016,Муром-1,38
15.11.2015,Тюмень-1,137
03.01.2015,Октябрьский-1,97
24.10.2015,Ростов-на-Дону-2,115
29.04.2015,Сыктывкар-4,37
07.11.2014,Октябрьский-1,72
15.05.2016,Химки-1,153
18.10.2015,Ухта-1,293
24.10.2015,Одинцово-1,80
29.05.2016,Челябинск-2,155
13.06.2015,Самара-4,180
16.01.2016,Реутов-1,105
02.10.2015,Смоленск-3,62
21.04.2013,Сарапул-1,76
10.11.2014,Белгород-1,66
03.08.2016,Тверь-1,65
18.11.2015,Самара-3,188
15.04.2014,Самара-2,141
20.08.2014,Энгельс-1,29
01.02.2013,Самара-1,71
23.09.2015,Сыктывкар-2,105
24.04.2014,Энгельс-1,29
09.12.2015,Вологда-1,32
08.01.2013,Белгород-1,28
23.07.2016,Новоалтайск-1,27
20.09.2016,Самара-1,240
16.08.2016,Ленинск-Кузнецкий-1,71
16.10.2016,Уссурийск-1,203
28.02.2016,Челябинск-1,164
04.03.2016,Самара-1,491
27.07.2016,Ачинск-1,110
01.08.2016,Долгопрудный-1,150
24.07.2014,Сарапул-1,92
12.08.2015,Калининград-1,55
16.03.2016,Альметьевск-1,42
09.02.2016,Ростов-на-Дону-2,81
30.01.2016,Балашиха-1,126
16.05.2016,Долгопрудный-1,213
09.02.2015,Долгопрудный-1,113
08.06.2016,Новокуйбышевск-1,90
18.02.2016,Одинцово-1,94
11.10.2013,Смоленск-2,1
20.03.2016,Салават-1,23
25.02.2016,Астрахань-1,49
01.09.2016,Самара-3,672
04.04.2016,Салават-1,18
21.09.2016,Лобня-1,82
16.07.2015,Энгельс-1,44
25.05.2016,Вологда-1,91
25.06.2016,Энгельс-1,81
19.02.2016,Лобня-1,67
16.05.2016,Новочебоксарск-1,51
25.09.2016,Железнодорожный-1,200
23.03.2014,Самара-1,84
28.06.2015,Альметьевск-1,68
24.04.2015,Самара-2,228
14.05.2016,Таганрог-1,301
12.01.2016,Сыктывкар-3,100
07.09.2015,Тюмень-1,80
12.07.2015,Челябинск-1,100
11.07.2013,Самара-1,79
17.10.2016,Ленинск-Кузнецкий-1,37
06.05.2016,Сыктывкар-3,120
26.11.2015,Ухта-1,170
30.05.2013,Сарапул-1,61
28.01.2016,Одинцово-1,72
25.06.2016,Октябрьский-1,107
30.04.2012,Сыктывкар-1,129
04.08.2015,Волжский-1,71
10.03.2016,Таганрог-1,178
12.03.2016,Абакан-1,62
29.11.2015,Чайковский-1,55
09.09.2013,Смоленск-1,61
29.12.2015,Бугульма-1,108
17.09.2015,Мытищи-1,45
01.01.2014,Самара-1,77
17.10.2016,Ухта-1,153
09.01.2016,Сургут-1,129
17.10.2016,Ханты-Мансийск-1,80
30.11.2013,Сыктывкар-2,58
31.12.2015,Колпино-1,54
29.06.2013,Смоленск-1,122
12.09.2016,Шахты-1,41
03.07.2014,Сыктывкар-2,39
23.11.2014,Сыктывкар-2,95
05.07.2016,Тюмень-2,93
31.07.2014,Энгельс-1,42
14.04.2016,Выборг-1,58
03.05.2014,Таганрог-1,130
22.08.2015,Чайковский-1,74
08.06.2015,Самара-4,139
01.06.2014,Сыктывкар-3,153
23.08.2014,Сыктывкар-4,103
05.04.2015,Самара-4,132
11.08.2016,Сыктывкар-6,8
25.08.2014,Сыктывкар-1,211
26.11.2015,Нахабино-1,20
09.08.2015,Самара-4,268
17.12.2015,Долгопрудный-1,201
17.09.2016,Самара-2,572
07.09.2012,Сыктывкар-1,345
05.10.2014,Самара-1,140
09.10.2016,Шахты-1,64
30.03.2016,Березники-1,69
18.06.2016,Одинцово-1,191
26.06.2016,Гатчина-2,57
27.02.2016,Домодедово-1,165
19.10.2016,Волжский-1,86
29.10.2012,Сыктывкар-1,225
03.08.2015,Долгопрудный-1,103
05.07.2014,Таганрог-1,130
23.07.2016,Ухта-2,67
12.07.2016,Всеволожск-1,64
25.09.2016,Сургут-1,216
03.01.2015,Смоленск-3,192
15.04.2016,Пушкино-1,90
25.12.2015,Сыктывкар-6,8
15.11.2014,Сыктывкар-2,147
08.02.2016,Октябрьский-1,71
29.08.2016,Тверь-1,122
05.06.2016,Чайковский-1,88
28.01.2016,Белгород-1,68
17.10.2016,Серпухов-1,75
04.06.2016,Балашиха-1,173
05.07.2016,Калуга-1,117
09.06.2016,Балашиха-1,85
19.03.2015,Ростов-на-Дону-1,103
29.11.2015,Ульяновск-2,238
11.09.2013,Смоленск-2,2
03.07.2016,Ухта-1,233
14.06.2016,Сыктывкар-3,96
30.03.2015,Октябрьский-1,72
10.04.2015,Сыктывкар-2,108
30.07.2013,Самара-2,23
26.07.2013,Ухта-1,174
16.07.2015,Калининград-1,59
05.10.2016,Новокуйбышевск-1,106
07.06.2016,Сыктывкар-3,95
02.08.2016,Березники-1,68
15.09.2016,Домодедово-1,76
20.03.2014,Смоленск-1,152
22.06.2016,Самара-1,182
15.09.2016,Новоалтайск-1,41
08.05.2014,Долгопрудный-1,73
16.01.2016,Калининград-1,161
10.11.2014,Таганрог-1,85
08.06.2012,Сыктывкар-1,227
19.09.2014,Абакан-1,86
21.05.2015,Химки-1,72
20.05.2015,Гатчина-1,36
27.12.2013,Ульяновск-1,100
03.03.2014,Белгород-1,92
16.06.2016,Тверь-1,55
27.08.2015,Нижневартовск-1,26
12.10.2015,Астрахань-1,34
27.02.2016,Сыктывкар-3,136
22.12.2015,Челябинск-1,97
08.06.2015,Самара-3,183
02.09.2014,Ульяновск-1,59
30.12.2014,Самара-2,236
12.03.2014,Сыктывкар-2,44
22.01.2016,Гатчина-1,110
08.09.2014,Челябинск-1,74
12.06.2016,Благовещенск-1,94
21.04.2016,Сыктывкар-2,66
06.01.2015,Октябрьский-1,93
30.08.2016,Ульяновск-2,223
21.03.2016,Чайковский-1,20
13.01.2016,Сарапул-1,59
21.08.2015,Королев-1,82
25.10.2014,Красноярск-1,18
21.07.2016,Волжский-1,128
10.11.2015,Самара-4,178
08.06.2014,Сыктывкар-2,45
28.01.2015,Белгород-1,78
22.04.2016,Уссурийск-1,171
12.04.2016,Астрахань-1,53
22.07.2016,Радужный-1,68
29.07.2016,Тверь-1,106
28.05.2014,Сыктывкар-4,32
01.03.2016,Ачинск-1,104
09.06.2016,Самара-4,206
19.07.2014,Сыктывкар-2,49
25.06.2015,Бугульма-1,43
20.04.2015,Сарапул-1,51
28.12.2015,Новочебоксарск-1,43
06.04.2016,Ангарск-1,35
12.07.2016,Самара-1,232
11.07.2016,Балашиха-1,89
04.04.2016,Майкоп-1,117
01.03.2015,Челябинск-1,101
21.11.2014,Сыктывкар-4,35
28.05.2015,Бугульма-1,47
27.01.2016,Белгород-1,92
05.05.2015,Смоленск-1,96
15.10.2015,Березники-1,53
22.12.2015,Ухта-1,143
22.01.2016,Ростов-на-Дону-2,133
18.08.2015,Новороссийск-1,69
22.03.2014,Таганрог-1,140
23.05.2016,Реутов-1,102
12.06.2016,Новороссийск-1,151
10.03.2016,Самара-2,167
25.06.2015,Сыктывкар-5,45
21.07.2016,Серпухов-1,44
23.02.2015,Гатчина-1,49
13.03.2016,Зеленоград-1,88
23.08.2015,Ростов-на-Дону-2,87
