Day,Month,Year,City,Count,WeekDay,DayForStartYear,isWeekend,DayForStartTrainPeriod
13,2,2012,Сыктывкар-1,105,0,43,0,130
14,2,2012,Сыктывкар-1,145,1,44,0,131
15,2,2012,Сыктывкар-1,97,2,45,0,132
16,2,2012,Сыктывкар-1,103,3,46,0,133
17,2,2012,Сыктывкар-1,138,4,47,0,134
19,2,2012,Сыктывкар-1,127,6,49,1,136
20,2,2012,Сыктывкар-1,99,0,50,0,137
21,2,2012,Сыктывкар-1,110,1,51,0,138
22,2,2012,Сыктывкар-1,268,2,52,0,139
23,2,2012,Сыктывкар-1,239,3,53,0,140
24,2,2012,Сыктывкар-1,136,4,54,0,141
25,2,2012,Сыктывкар-1,156,5,55,1,142
26,2,2012,Сыктывкар-1,112,6,56,1,143
27,2,2012,Сыктывкар-1,100,0,57,0,144
28,2,2012,Сыктывкар-1,91,1,58,0,145
29,2,2012,Сыктывкар-1,67,2,59,0,146
1,3,2012,Сыктывкар-1,95,3,60,0,147
2,3,2012,Сыктывкар-1,153,4,61,0,148
3,3,2012,Сыктывкар-1,162,5,62,1,149
4,3,2012,Сыктывкар-1,136,6,63,1,150
5,3,2012,Сыктывкар-1,95,0,64,0,151
6,3,2012,Сыктывкар-1,87,1,65,0,152
7,3,2012,Сыктывкар-1,285,2,66,0,153
8,3,2012,Сыктывкар-1,237,3,67,0,154
10,3,2012,Сыктывкар-1,141,5,69,1,156
11,3,2012,Сыктывкар-1,128,6,70,1,157
14,3,2012,Сыктывкар-1,90,2,73,0,160
16,3,2012,Сыктывкар-1,135,4,75,0,162
17,3,2012,Сыктывкар-1,169,5,76,1,163
18,3,2012,Сыктывкар-1,152,6,77,1,164
20,3,2012,Сыктывкар-1,104,1,79,0,166
21,3,2012,Сыктывкар-1,104,2,80,0,167
22,3,2012,Сыктывкар-1,117,3,81,0,168
23,3,2012,Сыктывкар-1,151,4,82,0,169
24,3,2012,Сыктывкар-1,145,5,83,1,170
25,3,2012,Сыктывкар-1,120,6,84,1,171
26,3,2012,Сыктывкар-1,98,0,85,0,172
27,3,2012,Сыктывкар-1,93,1,86,0,173
28,3,2012,Сыктывкар-1,89,2,87,0,174
29,3,2012,Сыктывкар-1,112,3,88,0,175
30,3,2012,Сыктывкар-1,134,4,89,0,176
1,4,2012,Сыктывкар-1,185,6,91,1,178
2,4,2012,Сыктывкар-1,108,0,92,0,179
3,4,2012,Сыктывкар-1,124,1,93,0,180
4,4,2012,Сыктывкар-1,145,2,94,0,181
5,4,2012,Сыктывкар-1,135,3,95,0,182
6,4,2012,Сыктывкар-1,170,4,96,0,183
7,4,2012,Сыктывкар-1,163,5,97,1,184
10,4,2012,Сыктывкар-1,113,1,100,0,187
11,4,2012,Сыктывкар-1,143,2,101,0,188
12,4,2012,Сыктывкар-1,147,3,102,0,189
13,4,2012,Сыктывкар-1,169,4,103,0,190
14,4,2012,Сыктывкар-1,161,5,104,1,191
15,4,2012,Сыктывкар-1,118,6,105,1,192
17,4,2012,Сыктывкар-1,137,1,107,0,194
18,4,2012,Сыктывкар-1,123,2,108,0,195
19,4,2012,Сыктывкар-1,152,3,109,0,196
21,4,2012,Сыктывкар-1,177,5,111,1,198
22,4,2012,Сыктывкар-1,151,6,112,1,199
24,4,2012,Сыктывкар-1,135,1,114,0,201
25,4,2012,Сыктывкар-1,136,2,115,0,202
26,4,2012,Сыктывкар-1,131,3,116,0,203
27,4,2012,Сыктывкар-1,148,4,117,0,204
28,4,2012,Сыктывкар-1,186,5,118,1,205
29,4,2012,Сыктывкар-1,167,6,119,1,206
30,4,2012,Сыктывкар-1,129,0,120,0,207
1,5,2012,Сыктывкар-1,149,1,121,0,208
2,5,2012,Сыктывкар-1,116,2,122,0,209
3,5,2012,Сыктывкар-2,15,3,123,0,210
3,5,2012,Сыктывкар-1,117,3,123,0,210
4,5,2012,Сыктывкар-2,8,4,124,0,211
4,5,2012,Сыктывкар-1,96,4,124,0,211
7,5,2012,Сыктывкар-2,68,0,127,0,214
7,5,2012,Сыктывкар-1,161,0,127,0,214
8,5,2012,Сыктывкар-2,62,1,128,0,215
8,5,2012,Сыктывкар-1,191,1,128,0,215
9,5,2012,Сыктывкар-1,213,2,129,0,216
9,5,2012,Сыктывкар-2,72,2,129,0,216
10,5,2012,Сыктывкар-1,143,3,130,0,217
10,5,2012,Сыктывкар-2,50,3,130,0,217
11,5,2012,Сыктывкар-2,29,4,131,0,218
11,5,2012,Сыктывкар-1,87,4,131,0,218
13,5,2012,Сыктывкар-2,75,6,133,1,220
13,5,2012,Сыктывкар-1,203,6,133,1,220
14,5,2012,Сыктывкар-1,159,0,134,0,221
14,5,2012,Сыктывкар-2,39,0,134,0,221
15,5,2012,Сыктывкар-2,27,1,135,0,222
15,5,2012,Сыктывкар-1,154,1,135,0,222
17,5,2012,Сыктывкар-1,141,3,137,0,224
17,5,2012,Сыктывкар-2,38,3,137,0,224
18,5,2012,Сыктывкар-2,30,4,138,0,225
18,5,2012,Сыктывкар-1,158,4,138,0,225
19,5,2012,Сыктывкар-2,41,5,139,1,226
19,5,2012,Сыктывкар-1,150,5,139,1,226
20,5,2012,Сыктывкар-2,30,6,140,1,227
20,5,2012,Сыктывкар-1,139,6,140,1,227
21,5,2012,Сыктывкар-1,105,0,141,0,228
21,5,2012,Сыктывкар-2,25,0,141,0,228
22,5,2012,Сыктывкар-2,29,1,142,0,229
22,5,2012,Сыктывкар-1,105,1,142,0,229
23,5,2012,Сыктывкар-1,139,2,143,0,230
23,5,2012,Сыктывкар-2,28,2,143,0,230
24,5,2012,Сыктывкар-2,31,3,144,0,231
24,5,2012,Сыктывкар-1,138,3,144,0,231
26,5,2012,Сыктывкар-1,219,5,146,1,233
26,5,2012,Сыктывкар-2,31,5,146,1,233
28,5,2012,Сыктывкар-1,136,0,148,0,235
28,5,2012,Сыктывкар-2,24,0,148,0,235
29,5,2012,Сыктывкар-2,29,1,149,0,236
29,5,2012,Сыктывкар-1,119,1,149,0,236
30,5,2012,Сыктывкар-1,111,2,150,0,237
30,5,2012,Сыктывкар-2,39,2,150,0,237
31,5,2012,Сыктывкар-2,60,3,151,0,238
31,5,2012,Сыктывкар-1,150,3,151,0,238
1,6,2012,Сыктывкар-1,276,4,152,0,239
1,6,2012,Сыктывкар-2,38,4,152,0,239
2,6,2012,Сыктывкар-2,58,5,153,1,240
2,6,2012,Сыктывкар-1,161,5,153,1,240
4,6,2012,Сыктывкар-2,34,0,155,0,242
4,6,2012,Сыктывкар-1,157,0,155,0,242
5,6,2012,Сыктывкар-2,26,1,156,0,243
5,6,2012,Сыктывкар-1,171,1,156,0,243
6,6,2012,Сыктывкар-1,146,2,157,0,244
6,6,2012,Сыктывкар-2,26,2,157,0,244
7,6,2012,Сыктывкар-2,33,3,158,0,245
7,6,2012,Сыктывкар-1,171,3,158,0,245
8,6,2012,Сыктывкар-1,227,4,159,0,246
8,6,2012,Сыктывкар-2,43,4,159,0,246
9,6,2012,Сыктывкар-1,293,5,160,1,247
9,6,2012,Сыктывкар-2,63,5,160,1,247
10,6,2012,Сыктывкар-2,65,6,161,1,248
10,6,2012,Сыктывкар-1,224,6,161,1,248
12,6,2012,Сыктывкар-2,45,1,163,0,250
12,6,2012,Сыктывкар-1,226,1,163,0,250
13,6,2012,Сыктывкар-1,156,2,164,0,251
13,6,2012,Сыктывкар-2,21,2,164,0,251
14,6,2012,Сыктывкар-1,168,3,165,0,252
14,6,2012,Сыктывкар-2,39,3,165,0,252
15,6,2012,Сыктывкар-1,235,4,166,0,253
15,6,2012,Сыктывкар-2,59,4,166,0,253
16,6,2012,Сыктывкар-2,64,5,167,1,254
16,6,2012,Сыктывкар-1,275,5,167,1,254
17,6,2012,Сыктывкар-2,47,6,168,1,255
17,6,2012,Сыктывкар-1,174,6,168,1,255
18,6,2012,Сыктывкар-2,33,0,169,0,256
18,6,2012,Сыктывкар-1,168,0,169,0,256
20,6,2012,Сыктывкар-1,192,2,171,0,258
20,6,2012,Сыктывкар-2,26,2,171,0,258
21,6,2012,Сыктывкар-1,195,3,172,0,259
21,6,2012,Сыктывкар-2,36,3,172,0,259
22,6,2012,Сыктывкар-1,239,4,173,0,260
22,6,2012,Сыктывкар-2,52,4,173,0,260
23,6,2012,Сыктывкар-1,235,5,174,1,261
23,6,2012,Сыктывкар-2,39,5,174,1,261
24,6,2012,Сыктывкар-1,202,6,175,1,262
24,6,2012,Сыктывкар-2,41,6,175,1,262
25,6,2012,Сыктывкар-2,34,0,176,0,263
25,6,2012,Сыктывкар-1,205,0,176,0,263
26,6,2012,Сыктывкар-1,176,1,177,0,264
26,6,2012,Сыктывкар-2,14,1,177,0,264
27,6,2012,Сыктывкар-2,51,2,178,0,265
27,6,2012,Сыктывкар-1,241,2,178,0,265
28,6,2012,Сыктывкар-1,196,3,179,0,266
28,6,2012,Сыктывкар-2,35,3,179,0,266
29,6,2012,Сыктывкар-2,72,4,180,0,267
29,6,2012,Сыктывкар-1,331,4,180,0,267
30,6,2012,Сыктывкар-1,298,5,181,1,268
30,6,2012,Сыктывкар-2,63,5,181,1,268
1,7,2012,Сыктывкар-1,262,6,182,1,269
1,7,2012,Сыктывкар-2,28,6,182,1,269
3,7,2012,Сыктывкар-1,180,1,184,0,271
3,7,2012,Сыктывкар-2,16,1,184,0,271
4,7,2012,Сыктывкар-1,228,2,185,0,272
4,7,2012,Сыктывкар-2,14,2,185,0,272
5,7,2012,Сыктывкар-1,263,3,186,0,273
5,7,2012,Сыктывкар-2,14,3,186,0,273
7,7,2012,Сыктывкар-2,33,5,188,1,275
7,7,2012,Сыктывкар-1,247,5,188,1,275
8,7,2012,Сыктывкар-2,16,6,189,1,276
8,7,2012,Сыктывкар-1,222,6,189,1,276
9,7,2012,Сыктывкар-2,18,0,190,0,277
9,7,2012,Сыктывкар-1,213,0,190,0,277
10,7,2012,Сыктывкар-2,19,1,191,0,278
10,7,2012,Сыктывкар-1,211,1,191,0,278
11,7,2012,Сыктывкар-2,16,2,192,0,279
11,7,2012,Сыктывкар-1,218,2,192,0,279
12,7,2012,Сыктывкар-2,15,3,193,0,280
12,7,2012,Сыктывкар-1,218,3,193,0,280
13,7,2012,Сыктывкар-2,28,4,194,0,281
13,7,2012,Сыктывкар-1,309,4,194,0,281
14,7,2012,Сыктывкар-1,241,5,195,1,282
14,7,2012,Сыктывкар-2,39,5,195,1,282
15,7,2012,Сыктывкар-2,42,6,196,1,283
15,7,2012,Сыктывкар-1,294,6,196,1,283
16,7,2012,Сыктывкар-2,33,0,197,0,284
16,7,2012,Сыктывкар-1,257,0,197,0,284
17,7,2012,Сыктывкар-1,242,1,198,0,285
17,7,2012,Сыктывкар-2,19,1,198,0,285
17,7,2012,Ухта-1,7,1,198,0,285
18,7,2012,Сыктывкар-2,25,2,199,0,286
18,7,2012,Сыктывкар-1,236,2,199,0,286
18,7,2012,Ухта-1,9,2,199,0,286
19,7,2012,Сыктывкар-1,230,3,200,0,287
19,7,2012,Сыктывкар-2,13,3,200,0,287
19,7,2012,Ухта-1,8,3,200,0,287
20,7,2012,Ухта-1,9,4,201,0,288
20,7,2012,Сыктывкар-1,305,4,201,0,288
20,7,2012,Сыктывкар-2,24,4,201,0,288
21,7,2012,Сыктывкар-1,322,5,202,1,289
21,7,2012,Ухта-1,13,5,202,1,289
21,7,2012,Сыктывкар-2,28,5,202,1,289
22,7,2012,Ухта-1,18,6,203,1,290
22,7,2012,Сыктывкар-1,239,6,203,1,290
22,7,2012,Сыктывкар-2,21,6,203,1,290
23,7,2012,Сыктывкар-1,240,0,204,0,291
23,7,2012,Ухта-1,29,0,204,0,291
23,7,2012,Сыктывкар-2,20,0,204,0,291
24,7,2012,Сыктывкар-1,238,1,205,0,292
24,7,2012,Сыктывкар-2,20,1,205,0,292
24,7,2012,Ухта-1,27,1,205,0,292
25,7,2012,Сыктывкар-1,236,2,206,0,293
25,7,2012,Сыктывкар-2,19,2,206,0,293
25,7,2012,Ухта-1,20,2,206,0,293
26,7,2012,Сыктывкар-1,253,3,207,0,294
26,7,2012,Ухта-1,22,3,207,0,294
26,7,2012,Сыктывкар-2,16,3,207,0,294
27,7,2012,Сыктывкар-2,38,4,208,0,295
27,7,2012,Сыктывкар-1,303,4,208,0,295
27,7,2012,Ухта-1,28,4,208,0,295
28,7,2012,Сыктывкар-2,25,5,209,1,296
28,7,2012,Ухта-1,21,5,209,1,296
28,7,2012,Сыктывкар-1,273,5,209,1,296
29,7,2012,Ухта-1,20,6,210,1,297
29,7,2012,Сыктывкар-2,22,6,210,1,297
29,7,2012,Сыктывкар-1,245,6,210,1,297
30,7,2012,Сыктывкар-1,255,0,211,0,298
30,7,2012,Ухта-1,28,0,211,0,298
30,7,2012,Сыктывкар-2,15,0,211,0,298
31,7,2012,Сыктывкар-1,250,1,212,0,299
31,7,2012,Сыктывкар-2,30,1,212,0,299
31,7,2012,Ухта-1,38,1,212,0,299
1,8,2012,Ухта-1,23,2,213,0,300
1,8,2012,Сыктывкар-2,15,2,213,0,300
1,8,2012,Сыктывкар-1,251,2,213,0,300
2,8,2012,Сыктывкар-2,16,3,214,0,301
2,8,2012,Ухта-1,43,3,214,0,301
2,8,2012,Сыктывкар-1,246,3,214,0,301
3,8,2012,Сыктывкар-2,23,4,215,0,302
3,8,2012,Сыктывкар-1,300,4,215,0,302
3,8,2012,Ухта-1,50,4,215,0,302
4,8,2012,Сыктывкар-2,28,5,216,1,303
4,8,2012,Сыктывкар-1,256,5,216,1,303
4,8,2012,Ухта-1,54,5,216,1,303
5,8,2012,Ухта-1,44,6,217,1,304
5,8,2012,Сыктывкар-1,262,6,217,1,304
5,8,2012,Сыктывкар-2,17,6,217,1,304
6,8,2012,Сыктывкар-2,26,0,218,0,305
6,8,2012,Сыктывкар-1,280,0,218,0,305
6,8,2012,Ухта-1,38,0,218,0,305
7,8,2012,Сыктывкар-1,219,1,219,0,306
7,8,2012,Ухта-1,49,1,219,0,306
7,8,2012,Сыктывкар-2,21,1,219,0,306
8,8,2012,Ухта-1,41,2,220,0,307
8,8,2012,Сыктывкар-2,18,2,220,0,307
8,8,2012,Сыктывкар-1,275,2,220,0,307
9,8,2012,Сыктывкар-1,276,3,221,0,308
9,8,2012,Сыктывкар-2,12,3,221,0,308
9,8,2012,Ухта-1,62,3,221,0,308
11,8,2012,Сыктывкар-1,301,5,223,1,310
11,8,2012,Сыктывкар-2,42,5,223,1,310
11,8,2012,Ухта-1,87,5,223,1,310
13,8,2012,Ухта-1,72,0,225,0,312
13,8,2012,Сыктывкар-2,28,0,225,0,312
13,8,2012,Сыктывкар-1,260,0,225,0,312
14,8,2012,Сыктывкар-1,257,1,226,0,313
14,8,2012,Сыктывкар-2,29,1,226,0,313
14,8,2012,Ухта-1,74,1,226,0,313
15,8,2012,Сыктывкар-2,24,2,227,0,314
15,8,2012,Сыктывкар-1,268,2,227,0,314
15,8,2012,Ухта-1,85,2,227,0,314
16,8,2012,Ухта-1,74,3,228,0,315
16,8,2012,Сыктывкар-2,26,3,228,0,315
16,8,2012,Сыктывкар-1,273,3,228,0,315
17,8,2012,Сыктывкар-2,39,4,229,0,316
17,8,2012,Ухта-1,128,4,229,0,316
17,8,2012,Сыктывкар-1,322,4,229,0,316
19,8,2012,Ухта-1,69,6,231,1,318
19,8,2012,Сыктывкар-1,293,6,231,1,318
19,8,2012,Сыктывкар-2,22,6,231,1,318
20,8,2012,Сыктывкар-1,269,0,232,0,319
20,8,2012,Ухта-1,72,0,232,0,319
20,8,2012,Сыктывкар-2,23,0,232,0,319
21,8,2012,Сыктывкар-1,265,1,233,0,320
21,8,2012,Ухта-1,65,1,233,0,320
21,8,2012,Сыктывкар-2,27,1,233,0,320
23,8,2012,Сыктывкар-1,294,3,235,0,322
23,8,2012,Ухта-1,70,3,235,0,322
23,8,2012,Сыктывкар-2,33,3,235,0,322
24,8,2012,Сыктывкар-2,26,4,236,0,323
24,8,2012,Ухта-1,111,4,236,0,323
24,8,2012,Сыктывкар-1,318,4,236,0,323
26,8,2012,Сыктывкар-2,27,6,238,1,325
26,8,2012,Ухта-1,76,6,238,1,325
26,8,2012,Сыктывкар-1,274,6,238,1,325
27,8,2012,Сыктывкар-1,256,0,239,0,326
27,8,2012,Сыктывкар-2,28,0,239,0,326
27,8,2012,Ухта-1,87,0,239,0,326
28,8,2012,Сыктывкар-2,24,1,240,0,327
28,8,2012,Смоленск-1,4,1,240,0,327
28,8,2012,Сыктывкар-1,231,1,240,0,327
28,8,2012,Ухта-1,73,1,240,0,327
30,8,2012,Сыктывкар-1,296,3,242,0,329
30,8,2012,Ухта-1,123,3,242,0,329
30,8,2012,Сыктывкар-2,30,3,242,0,329
30,8,2012,Смоленск-1,3,3,242,0,329
31,8,2012,Сыктывкар-2,43,4,243,0,330
31,8,2012,Смоленск-1,71,4,243,0,330
31,8,2012,Сыктывкар-1,401,4,243,0,330
31,8,2012,Ухта-1,179,4,243,0,330
1,9,2012,Смоленск-1,85,5,244,1,331
1,9,2012,Сыктывкар-2,68,5,244,1,331
1,9,2012,Сыктывкар-1,509,5,244,1,331
1,9,2012,Ухта-1,132,5,244,1,331
2,9,2012,Сыктывкар-2,15,6,245,1,332
2,9,2012,Смоленск-1,62,6,245,1,332
2,9,2012,Ухта-1,102,6,245,1,332
2,9,2012,Сыктывкар-1,289,6,245,1,332
3,9,2012,Сыктывкар-2,10,0,246,0,333
3,9,2012,Смоленск-1,53,0,246,0,333
3,9,2012,Сыктывкар-1,205,0,246,0,333
3,9,2012,Ухта-1,55,0,246,0,333
4,9,2012,Сыктывкар-2,18,1,247,0,334
4,9,2012,Сыктывкар-1,197,1,247,0,334
4,9,2012,Смоленск-1,68,1,247,0,334
4,9,2012,Ухта-1,48,1,247,0,334
5,9,2012,Сыктывкар-1,237,2,248,0,335
5,9,2012,Сыктывкар-2,14,2,248,0,335
5,9,2012,Ухта-1,85,2,248,0,335
5,9,2012,Смоленск-1,56,2,248,0,335
6,9,2012,Смоленск-1,55,3,249,0,336
6,9,2012,Сыктывкар-1,198,3,249,0,336
6,9,2012,Сыктывкар-2,22,3,249,0,336
6,9,2012,Ухта-1,71,3,249,0,336
7,9,2012,Смоленск-1,95,4,250,0,337
7,9,2012,Сыктывкар-1,345,4,250,0,337
7,9,2012,Ухта-1,123,4,250,0,337
7,9,2012,Сыктывкар-2,26,4,250,0,337
8,9,2012,Сыктывкар-2,36,5,251,1,338
8,9,2012,Смоленск-1,75,5,251,1,338
8,9,2012,Сыктывкар-1,345,5,251,1,338
8,9,2012,Ухта-1,109,5,251,1,338
9,9,2012,Ухта-1,92,6,252,1,339
9,9,2012,Смоленск-1,68,6,252,1,339
9,9,2012,Сыктывкар-1,291,6,252,1,339
9,9,2012,Сыктывкар-2,27,6,252,1,339
10,9,2012,Сыктывкар-2,25,0,253,0,340
10,9,2012,Ухта-1,72,0,253,0,340
10,9,2012,Сыктывкар-1,205,0,253,0,340
10,9,2012,Смоленск-1,69,0,253,0,340
11,9,2012,Сыктывкар-1,236,1,254,0,341
11,9,2012,Смоленск-1,57,1,254,0,341
11,9,2012,Сыктывкар-2,17,1,254,0,341
11,9,2012,Ухта-1,77,1,254,0,341
12,9,2012,Смоленск-1,72,2,255,0,342
12,9,2012,Сыктывкар-1,250,2,255,0,342
12,9,2012,Ухта-1,75,2,255,0,342
12,9,2012,Сыктывкар-2,15,2,255,0,342
13,9,2012,Ухта-1,73,3,256,0,343
13,9,2012,Сыктывкар-2,14,3,256,0,343
13,9,2012,Сыктывкар-1,211,3,256,0,343
13,9,2012,Смоленск-1,56,3,256,0,343
14,9,2012,Сыктывкар-1,337,4,257,0,344
14,9,2012,Ухта-1,122,4,257,0,344
14,9,2012,Сыктывкар-2,28,4,257,0,344
14,9,2012,Смоленск-1,72,4,257,0,344
15,9,2012,Ухта-1,143,5,258,1,345
15,9,2012,Сыктывкар-2,42,5,258,1,345
15,9,2012,Смоленск-1,98,5,258,1,345
15,9,2012,Сыктывкар-1,400,5,258,1,345
16,9,2012,Ухта-1,103,6,259,1,346
16,9,2012,Сыктывкар-2,31,6,259,1,346
16,9,2012,Сыктывкар-1,313,6,259,1,346
16,9,2012,Смоленск-1,70,6,259,1,346
17,9,2012,Сыктывкар-1,207,0,260,0,347
17,9,2012,Смоленск-1,46,0,260,0,347
17,9,2012,Сыктывкар-2,26,0,260,0,347
17,9,2012,Ухта-1,68,0,260,0,347
19,9,2012,Сыктывкар-1,216,2,262,0,349
19,9,2012,Ухта-1,60,2,262,0,349
19,9,2012,Смоленск-1,56,2,262,0,349
19,9,2012,Сыктывкар-2,18,2,262,0,349
20,9,2012,Смоленск-1,56,3,263,0,350
20,9,2012,Сыктывкар-1,241,3,263,0,350
20,9,2012,Сыктывкар-2,16,3,263,0,350
20,9,2012,Ухта-1,66,3,263,0,350
21,9,2012,Смоленск-1,68,4,264,0,351
21,9,2012,Сыктывкар-2,32,4,264,0,351
21,9,2012,Сыктывкар-1,309,4,264,0,351
21,9,2012,Ухта-1,111,4,264,0,351
22,9,2012,Ухта-1,101,5,265,1,352
22,9,2012,Смоленск-1,98,5,265,1,352
22,9,2012,Сыктывкар-2,44,5,265,1,352
22,9,2012,Сыктывкар-1,372,5,265,1,352
23,9,2012,Смоленск-1,79,6,266,1,353
23,9,2012,Сыктывкар-1,341,6,266,1,353
23,9,2012,Ухта-1,75,6,266,1,353
23,9,2012,Сыктывкар-2,29,6,266,1,353
25,9,2012,Сыктывкар-1,246,1,268,0,355
25,9,2012,Ухта-1,48,1,268,0,355
25,9,2012,Смоленск-1,98,1,268,0,355
25,9,2012,Сыктывкар-2,23,1,268,0,355
26,9,2012,Смоленск-1,67,2,269,0,356
26,9,2012,Ухта-1,68,2,269,0,356
26,9,2012,Сыктывкар-2,26,2,269,0,356
26,9,2012,Сыктывкар-1,271,2,269,0,356
27,9,2012,Сыктывкар-2,23,3,270,0,357
27,9,2012,Смоленск-1,74,3,270,0,357
27,9,2012,Сыктывкар-1,226,3,270,0,357
27,9,2012,Ухта-1,63,3,270,0,357
28,9,2012,Ухта-1,131,4,271,0,358
28,9,2012,Смоленск-1,92,4,271,0,358
28,9,2012,Сыктывкар-2,33,4,271,0,358
28,9,2012,Сыктывкар-1,336,4,271,0,358
29,9,2012,Сыктывкар-2,37,5,272,1,359
29,9,2012,Сыктывкар-1,367,5,272,1,359
29,9,2012,Ухта-1,156,5,272,1,359
29,9,2012,Смоленск-1,78,5,272,1,359
30,9,2012,Ухта-1,84,6,273,1,360
30,9,2012,Смоленск-1,105,6,273,1,360
30,9,2012,Сыктывкар-2,32,6,273,1,360
30,9,2012,Сыктывкар-1,350,6,273,1,360
1,10,2012,Ухта-1,63,0,274,0,361
1,10,2012,Смоленск-1,42,0,274,0,361
1,10,2012,Сыктывкар-1,248,0,274,0,361
1,10,2012,Сыктывкар-2,20,0,274,0,361
2,10,2012,Сыктывкар-1,212,1,275,0,362
2,10,2012,Сыктывкар-2,14,1,275,0,362
2,10,2012,Ухта-1,73,1,275,0,362
2,10,2012,Смоленск-1,64,1,275,0,362
3,10,2012,Смоленск-1,57,2,276,0,363
3,10,2012,Ухта-1,59,2,276,0,363
3,10,2012,Сыктывкар-1,252,2,276,0,363
3,10,2012,Сыктывкар-2,14,2,276,0,363
4,10,2012,Сыктывкар-2,14,3,277,0,364
4,10,2012,Смоленск-1,53,3,277,0,364
4,10,2012,Сыктывкар-1,261,3,277,0,364
4,10,2012,Ухта-1,58,3,277,0,364
5,10,2012,Смоленск-1,77,4,278,0,365
5,10,2012,Ухта-1,120,4,278,0,365
5,10,2012,Сыктывкар-2,35,4,278,0,365
5,10,2012,Сыктывкар-1,338,4,278,0,365
7,10,2012,Ухта-1,77,6,280,1,367
7,10,2012,Смоленск-1,80,6,280,1,367
7,10,2012,Сыктывкар-1,316,6,280,1,367
7,10,2012,Сыктывкар-2,33,6,280,1,367
9,10,2012,Сыктывкар-1,280,1,282,0,369
9,10,2012,Смоленск-1,72,1,282,0,369
9,10,2012,Сыктывкар-2,29,1,282,0,369
9,10,2012,Ухта-1,106,1,282,0,369
10,10,2012,Ухта-1,46,2,283,0,370
10,10,2012,Сыктывкар-2,30,2,283,0,370
10,10,2012,Сыктывкар-1,244,2,283,0,370
10,10,2012,Смоленск-1,90,2,283,0,370
12,10,2012,Ухта-1,118,4,285,0,372
12,10,2012,Сыктывкар-2,37,4,285,0,372
